Location,lat_lng
"Toronto, Ontario, Canada","(43.653226, -79.3831843)"
"Montreal, Quebec, Canada","(45.5018869, -73.56739189999999)"
"Vancouver, British Columbia, Canada","(49.2827291, -123.1207375)"
"Calgary, Alberta, Canada","(51.04473309999999, -114.0718831)"
"Barrie, Ontario, Canada","(44.38935559999999, -79.6903316)"
"Brampton, Ontario, Canada","(43.7315479, -79.7624177)"
"Charlottetown, PEI, Canada","(46.23824, -63.13107040000001)"
"Cornwall, Ontario, Canada","(45.0212762, -74.730345)"
"Edmonton, Alberta, Canada","(53.5460983, -113.4937266)"
"Fredericton, New Brunswick, Canada","(45.9635895, -66.6431151)"
"GTA, Ontario, Canada","(44.0383744, -79.1999949)"
"Halifax, Nova Scotia, Canada","(44.8857087, -63.1005273)"
"Hamilton, Ontario, Canada","(43.2557206, -79.8711024)"
"Kamloops, British Columbia, Canada","(50.674522, -120.3272674)"
"Kelowna, British Columbia, Canada","(49.8879519, -119.4960106)"
"Kingston, Ontario, Canada","(44.2311717, -76.4859544)"
"London, Ontario, Canada","(42.9849233, -81.2452768)"
"Markham, Ontario, Canada","(43.8561002, -79.3370188)"
"Mississauga, Ontario, Canada","(43.5890452, -79.6441198)"
"Moncton, Nova Scotia, Canada","(46.0878165, -64.7782313)"
"Niagara, Ontario, Canada","(43.0581645, -79.29021329999999)"
"Oakville, Ontario, Canada","(43.467517, -79.6876659)"
"Oshawa, Ontario, Canada","(43.8970929, -78.86579119999999)"
"Ottawa, Ontario, Canada","(45.4215296, -75.69719309999999)"
"Peterborough, Ontario, Canada","(44.3047061, -78.3199606)"
"Prince George, British Columbia, Canada","(53.9170641, -122.7496693)"
"Quebec City, Quebec, Canada","(46.8130816, -71.20745959999999)"
"Regina, Saskatchewan, Canada","(50.4452112, -104.6188944)"
"Saskatoon, Saskatchewan, Canada","(52.157902, -106.6701577)"
"St Catharines, Ontario, Canada","(43.1593745, -79.2468626)"
"St John (NB), New Brunswick, Canada","(45.2733153, -66.0633081)"
"St. John's, Newfoundland & Labrador, Canada","(47.5615096, -52.7125768)"
"Sudbury, Ontario, Canada","(46.4917317, -80.99302899999999)"
"Thunder Bay, Ontario, Canada","(48.3808951, -89.2476823)"
"Victoria, British Columbia, Canada","(48.4284207, -123.3656444)"
"Waterloo, Ontario, Canada","(43.4642578, -80.5204096)"
"Windsor, Ontario, Canada","(42.3149367, -83.03636329999999)"
"Winnipeg, Manitoba, Canada","(49.8954221, -97.1385145)"
