REF_DATE,CITY,Type of fuel,VALUE
06-Jan,Canada,Regular Unleaded,95.0
06-Feb,Canada,Regular Unleaded,88.0
06-Mar,Canada,Regular Unleaded,93.3
06-Apr,Canada,Regular Unleaded,106.2
06-May,Canada,Regular Unleaded,104.6
06-Jun,Canada,Regular Unleaded,104.5
06-Jul,Canada,Regular Unleaded,109.7
06-Aug,Canada,Regular Unleaded,109.6
06-Sep,Canada,Regular Unleaded,89.7
06-Oct,Canada,Regular Unleaded,86.5
06-Nov,Canada,Regular Unleaded,86.5
06-Dec,Canada,Regular Unleaded,90.1
07-Jan,Canada,Regular Unleaded,87.1
07-Feb,Canada,Regular Unleaded,91.0
07-Mar,Canada,Regular Unleaded,102.4
07-Apr,Canada,Regular Unleaded,105.2
07-May,Canada,Regular Unleaded,111.5
07-Jun,Canada,Regular Unleaded,106.1
07-Jul,Canada,Regular Unleaded,106.4
07-Aug,Canada,Regular Unleaded,100.8
07-Sep,Canada,Regular Unleaded,101.9
07-Oct,Canada,Regular Unleaded,98.0
07-Nov,Canada,Regular Unleaded,102.4
07-Dec,Canada,Regular Unleaded,104.0
08-Jan,Canada,Regular Unleaded,106.0
08-Feb,Canada,Regular Unleaded,106.6
08-Mar,Canada,Regular Unleaded,110.3
08-Apr,Canada,Regular Unleaded,117.5
08-May,Canada,Regular Unleaded,128.0
08-Jun,Canada,Regular Unleaded,135.1
08-Jul,Canada,Regular Unleaded,136.6
08-Aug,Canada,Regular Unleaded,127.3
08-Sep,Canada,Regular Unleaded,128.6
08-Oct,Canada,Regular Unleaded,110.9
08-Nov,Canada,Regular Unleaded,86.8
08-Dec,Canada,Regular Unleaded,76.5
09-Jan,Canada,Regular Unleaded,81.0
09-Feb,Canada,Regular Unleaded,85.1
09-Mar,Canada,Regular Unleaded,87.1
09-Apr,Canada,Regular Unleaded,87.8
09-May,Canada,Regular Unleaded,95.6
09-Jun,Canada,Regular Unleaded,101.6
09-Jul,Canada,Regular Unleaded,97.4
09-Aug,Canada,Regular Unleaded,100.5
09-Sep,Canada,Regular Unleaded,98.8
09-Oct,Canada,Regular Unleaded,96.5
09-Nov,Canada,Regular Unleaded,99.6
09-Dec,Canada,Regular Unleaded,96.1
10-Jan,Canada,Regular Unleaded,100.4
10-Feb,Canada,Regular Unleaded,98.8
10-Mar,Canada,Regular Unleaded,102.4
10-Apr,Canada,Regular Unleaded,102.7
10-May,Canada,Regular Unleaded,101.8
10-Jun,Canada,Regular Unleaded,98.6
10-Jul,Canada,Regular Unleaded,102.2
10-Aug,Canada,Regular Unleaded,101.9
10-Sep,Canada,Regular Unleaded,101.8
10-Oct,Canada,Regular Unleaded,105.1
10-Nov,Canada,Regular Unleaded,106.8
10-Dec,Canada,Regular Unleaded,109.5
11-Jan,Canada,Regular Unleaded,113.5
11-Feb,Canada,Regular Unleaded,114.3
11-Mar,Canada,Regular Unleaded,121.9
11-Apr,Canada,Regular Unleaded,129.6
11-May,Canada,Regular Unleaded,132.0
11-Jun,Canada,Regular Unleaded,127.0
11-Jul,Canada,Regular Unleaded,131.1
11-Aug,Canada,Regular Unleaded,125.5
11-Sep,Canada,Regular Unleaded,125.0
11-Oct,Canada,Regular Unleaded,124.4
11-Nov,Canada,Regular Unleaded,121.3
11-Dec,Canada,Regular Unleaded,117.8
12-Jan,Canada,Regular Unleaded,121.3
12-Feb,Canada,Regular Unleaded,124.2
12-Mar,Canada,Regular Unleaded,129.8
12-Apr,Canada,Regular Unleaded,134.1
12-May,Canada,Regular Unleaded,129.0
12-Jun,Canada,Regular Unleaded,125.2
12-Jul,Canada,Regular Unleaded,125.3
12-Aug,Canada,Regular Unleaded,128.4
12-Sep,Canada,Regular Unleaded,131.1
12-Oct,Canada,Regular Unleaded,129.3
12-Nov,Canada,Regular Unleaded,121.8
12-Dec,Canada,Regular Unleaded,118.6
13-Jan,Canada,Regular Unleaded,118.5
13-Feb,Canada,Regular Unleaded,129.0
13-Mar,Canada,Regular Unleaded,129.1
13-Apr,Canada,Regular Unleaded,125.4
13-May,Canada,Regular Unleaded,127.4
13-Jun,Canada,Regular Unleaded,131.0
13-Jul,Canada,Regular Unleaded,132.6
13-Aug,Canada,Regular Unleaded,131.2
13-Sep,Canada,Regular Unleaded,130.3
