REF_DATE,CITY,PROVINCE,Type of fuel,VALUE
Jan-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.0
Jan-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,24.6
Jan-79,Halifax, Nova Scotia,Regular Unleaded,23.4
Jan-79,Saint John, New Brunswick,Regular Unleaded,23.2
Jan-79,Québec, Quebec,Regular Unleaded,22.6
Jan-79,Montréal, Quebec,Regular Unleaded,22.6
Jan-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,22.8
Jan-79,Toronto, Ontario,Regular Unleaded,23.0
Jan-79,Thunder Bay, Ontario,Regular Unleaded,22.7
Jan-79,Winnipeg, Manitoba,Regular Unleaded,22.0
Jan-79,Regina, Saskatchewan,Regular Unleaded,22.8
Jan-79,Saskatoon, Saskatchewan,Regular Unleaded,22.7
Jan-79,Edmonton, Alberta,Regular Unleaded,18.3
Jan-79,Calgary, Alberta,Regular Unleaded,18.7
Jan-79,Vancouver, British Columbia,Regular Unleaded,21.8
Feb-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.2
Feb-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,24.8
Feb-79,Halifax, Nova Scotia,Regular Unleaded,23.6
Feb-79,Saint John, New Brunswick,Regular Unleaded,23.6
Feb-79,Québec, Quebec,Regular Unleaded,22.7
Feb-79,Montréal, Quebec,Regular Unleaded,22.6
Feb-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,22.8
Feb-79,Toronto, Ontario,Regular Unleaded,23.2
Feb-79,Thunder Bay, Ontario,Regular Unleaded,22.7
Feb-79,Winnipeg, Manitoba,Regular Unleaded,20.9
Feb-79,Regina, Saskatchewan,Regular Unleaded,22.8
Feb-79,Saskatoon, Saskatchewan,Regular Unleaded,22.9
Feb-79,Edmonton, Alberta,Regular Unleaded,18.5
Feb-79,Calgary, Alberta,Regular Unleaded,18.9
Feb-79,Vancouver, British Columbia,Regular Unleaded,21.7
Mar-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.2
Mar-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,24.9
Mar-79,Halifax, Nova Scotia,Regular Unleaded,23.5
Mar-79,Saint John, New Brunswick,Regular Unleaded,23.6
Mar-79,Québec, Quebec,Regular Unleaded,22.8
Mar-79,Montréal, Quebec,Regular Unleaded,22.7
Mar-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,22.9
Mar-79,Toronto, Ontario,Regular Unleaded,23.2
Mar-79,Thunder Bay, Ontario,Regular Unleaded,22.9
Mar-79,Winnipeg, Manitoba,Regular Unleaded,19.6
Mar-79,Regina, Saskatchewan,Regular Unleaded,22.7
Mar-79,Saskatoon, Saskatchewan,Regular Unleaded,22.9
Mar-79,Edmonton, Alberta,Regular Unleaded,18.4
Mar-79,Calgary, Alberta,Regular Unleaded,18.9
Mar-79,Vancouver, British Columbia,Regular Unleaded,22.2
Apr-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.3
Apr-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,25.1
Apr-79,Halifax, Nova Scotia,Regular Unleaded,23.9
Apr-79,Saint John, New Brunswick,Regular Unleaded,23.8
Apr-79,Québec, Quebec,Regular Unleaded,23.0
Apr-79,Montréal, Quebec,Regular Unleaded,22.7
Apr-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,23.6
Apr-79,Toronto, Ontario,Regular Unleaded,23.4
Apr-79,Thunder Bay, Ontario,Regular Unleaded,23.4
Apr-79,Winnipeg, Manitoba,Regular Unleaded,20.4
Apr-79,Regina, Saskatchewan,Regular Unleaded,21.1
Apr-79,Saskatoon, Saskatchewan,Regular Unleaded,23.1
Apr-79,Edmonton, Alberta,Regular Unleaded,18.4
Apr-79,Calgary, Alberta,Regular Unleaded,19.1
Apr-79,Vancouver, British Columbia,Regular Unleaded,22.7
May-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.5
May-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,25.3
May-79,Halifax, Nova Scotia,Regular Unleaded,24.0
May-79,Saint John, New Brunswick,Regular Unleaded,23.9
May-79,Québec, Quebec,Regular Unleaded,23.2
May-79,Montréal, Quebec,Regular Unleaded,22.9
May-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,23.5
May-79,Toronto, Ontario,Regular Unleaded,23.4
May-79,Thunder Bay, Ontario,Regular Unleaded,23.0
May-79,Winnipeg, Manitoba,Regular Unleaded,22.4
May-79,Regina, Saskatchewan,Regular Unleaded,22.7
May-79,Saskatoon, Saskatchewan,Regular Unleaded,23.2
May-79,Edmonton, Alberta,Regular Unleaded,18.6
May-79,Calgary, Alberta,Regular Unleaded,19.2
May-79,Vancouver, British Columbia,Regular Unleaded,22.7
Jun-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.5
Jun-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,25.4
Jun-79,Halifax, Nova Scotia,Regular Unleaded,24.0
Jun-79,Saint John, New Brunswick,Regular Unleaded,23.9
Jun-79,Québec, Quebec,Regular Unleaded,23.3
Jun-79,Montréal, Quebec,Regular Unleaded,22.9
Jun-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,21.3
Jun-79,Toronto, Ontario,Regular Unleaded,23.2
Jun-79,Thunder Bay, Ontario,Regular Unleaded,22.6
Jun-79,Winnipeg, Manitoba,Regular Unleaded,22.6
Jun-79,Regina, Saskatchewan,Regular Unleaded,21.9
Jun-79,Saskatoon, Saskatchewan,Regular Unleaded,23.0
Jun-79,Edmonton, Alberta,Regular Unleaded,18.6
Jun-79,Calgary, Alberta,Regular Unleaded,19.0
Jun-79,Vancouver, British Columbia,Regular Unleaded,22.7
Jul-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.7
Jul-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,25.5
Jul-79,Halifax, Nova Scotia,Regular Unleaded,24.0
Jul-79,Saint John, New Brunswick,Regular Unleaded,24.2
Jul-79,Québec, Quebec,Regular Unleaded,23.8
Jul-79,Montréal, Quebec,Regular Unleaded,23.6
Jul-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,23.6
Jul-79,Toronto, Ontario,Regular Unleaded,23.7
Jul-79,Thunder Bay, Ontario,Regular Unleaded,24.1
Jul-79,Winnipeg, Manitoba,Regular Unleaded,22.8
Jul-79,Regina, Saskatchewan,Regular Unleaded,23.0
Jul-79,Saskatoon, Saskatchewan,Regular Unleaded,23.4
Jul-79,Edmonton, Alberta,Regular Unleaded,18.8
Jul-79,Calgary, Alberta,Regular Unleaded,19.1
Jul-79,Vancouver, British Columbia,Regular Unleaded,22.9
Aug-79,St. John's, Newfoundland and Labrador,Regular Unleaded,26.9
Aug-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,25.6
Aug-79,Halifax, Nova Scotia,Regular Unleaded,24.5
Aug-79,Saint John, New Brunswick,Regular Unleaded,24.2
Aug-79,Québec, Quebec,Regular Unleaded,24.2
Aug-79,Montréal, Quebec,Regular Unleaded,23.9
Aug-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,23.9
Aug-79,Toronto, Ontario,Regular Unleaded,23.8
Aug-79,Thunder Bay, Ontario,Regular Unleaded,24.2
Aug-79,Winnipeg, Manitoba,Regular Unleaded,21.0
Aug-79,Regina, Saskatchewan,Regular Unleaded,23.0
Aug-79,Saskatoon, Saskatchewan,Regular Unleaded,23.4
Aug-79,Edmonton, Alberta,Regular Unleaded,18.8
Aug-79,Calgary, Alberta,Regular Unleaded,19.2
Aug-79,Vancouver, British Columbia,Regular Unleaded,23.2
Sep-79,St. John's, Newfoundland and Labrador,Regular Unleaded,28.3
Sep-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,26.7
Sep-79,Halifax, Nova Scotia,Regular Unleaded,25.4
Sep-79,Saint John, New Brunswick,Regular Unleaded,25.3
Sep-79,Québec, Quebec,Regular Unleaded,25.3
Sep-79,Montréal, Quebec,Regular Unleaded,25.1
Sep-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,25.1
Sep-79,Toronto, Ontario,Regular Unleaded,25.1
Sep-79,Thunder Bay, Ontario,Regular Unleaded,25.8
Sep-79,Winnipeg, Manitoba,Regular Unleaded,24.6
Sep-79,Regina, Saskatchewan,Regular Unleaded,25.1
Sep-79,Saskatoon, Saskatchewan,Regular Unleaded,25.1
Sep-79,Edmonton, Alberta,Regular Unleaded,19.7
Sep-79,Calgary, Alberta,Regular Unleaded,20.3
Sep-79,Vancouver, British Columbia,Regular Unleaded,24.3
Oct-79,St. John's, Newfoundland and Labrador,Regular Unleaded,28.6
Oct-79,Charlottetown and Summerside, Prince Edward Island,Regular Unleaded,26.9
Oct-79,Halifax, Nova Scotia,Regular Unleaded,25.4
Oct-79,Saint John, New Brunswick,Regular Unleaded,25.3
Oct-79,Québec, Quebec,Regular Unleaded,25.6
Oct-79,Montréal, Quebec,Regular Unleaded,25.3
Oct-79,Ottawa-Gatineau, Ontario part,Regular Unleaded,25.3
