REF_DATE,CITY,PROVINCE,PROVINCES,Type of fuel,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
06-Jan,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,95,,,,1
06-Feb,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,88,,,,1
06-Mar,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,93.3,,,,1
06-Apr,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,106.2,,,,1
06-May,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,104.6,,,,1
06-Jun,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,104.5,,,,1
06-Jul,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,109.7,,,,1
06-Aug,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,109.6,,,,1
06-Sep,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,89.7,,,,1
06-Oct,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,86.5,,,,1
06-Nov,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,86.5,,,,1
06-Dec,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,90.1,,,,1
07-Jan,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,87.1,,,,1
07-Feb,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,91,,,,1
07-Mar,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,102.4,,,,1
07-Apr,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,105.2,,,,1
07-May,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,111.5,,,,1
07-Jun,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,106.1,,,,1
07-Jul,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,106.4,,,,1
07-Aug,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,100.8,,,,1
07-Sep,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,101.9,,,,1
07-Oct,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,98,,,,1
07-Nov,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,102.4,,,,1
07-Dec,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,104,,,,1
08-Jan,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,106,,,,1
08-Feb,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,106.6,,,,1
08-Mar,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,110.3,,,,1
08-Apr,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,117.5,,,,1
08-May,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,128,,,,1
08-Jun,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,135.1,,,,1
08-Jul,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,136.6,,,,1
08-Aug,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,127.3,,,,1
08-Sep,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,128.6,,,,1
08-Oct,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,110.9,,,,1
08-Nov,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,86.8,,,,1
08-Dec,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,76.5,,,,1
09-Jan,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,81,,,,1
09-Feb,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,85.1,,,,1
09-Mar,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,87.1,,,,1
09-Apr,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,87.8,,,,1
09-May,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,95.6,,,,1
09-Jun,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,101.6,,,,1
09-Jul,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,97.4,,,,1
09-Aug,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,100.5,,,,1
09-Sep,Canada,,,Regular Unleaded,Cents per litre,57,units,0,v1352087861,20.2,98.8,,,,1
